"gene","cope"
"GPR101",NA
"LYPD8",NA
"ZNF705G",NA
"OR14K1",NA
"VN1R4",NA
"WNT3A",NA
"USP17L2",NA
"TAS2R7",NA
"NANOGP8",NA
"OR52N5",NA
"PRAMEF10",NA
"TXNDC5",NA
"OR52N1",NA
"UNCX",NA
"TEN1",NA
"LENEP",NA
"OR1L8",NA
"APOC2",NA
"R3HDML",NA
"DUOXA2",NA
"IFNA5",NA
"WNT9B",NA
"GJA10",NA
"FAM90A26",NA
"BMP10",NA
"ASMT",NA
"CDK3",NA
"C19orf33",NA
"PCDHB1",NA
"OR4F21",NA
"KRTAP12-1",NA
"WFDC12",NA
"BHLHE23",NA
"PLA2G4B",NA
"CATSPER4",NA
"FGF6",NA
"OR2M4",NA
"WNT6",NA
"CCDC190",NA
"ADGRD2",NA
"PLPP2",NA
"TEX13C",NA
"CFAP73",NA
"CFAP161",NA
"ACP7",NA
"CROCC2",NA
"CCDC187",NA
"ANGPTL8",NA
"WNT1",NA
"C11orf52",NA
"UGT1A1",NA
"IQCF5",NA
"GPAT3",NA
"POU4F3",NA
"TPSD1",NA
"NKX1-2",NA
"ASB10",NA
"UBQLN3",NA
"OMP",NA
"MFRP",NA
"IGLC7",NA
"KRTAP10-1",NA
"TAAR6",NA
"KRTAP10-2",NA
"OR6Q1",NA
"PYDC2",NA
"OR2AJ1",NA
"SCP2D1",NA
"OR1B1",NA
"TMEM88B",NA
"WFDC5",NA
"OR14J1",NA
